,Accession,Age,Age units,Biosample age,Biosample classification,Biosample term name,Biosample treatment,Biosample treatment purpose,Biosample treatment type details,Child biosamples,Culture harvest date,Date obtained,Description,ID,Lab,Life stage,Modification category,Modification method,Modification purpose,Modification site,Modification site introduced gene organism,Modification site target organism,Organism,Post-synchronization time,Post-synchronization time units,Source,Status,Summary,Synchronization,isogenic_replicates
269,ENCBS087RTK,unknown,,,cell line,iPS DF 19.11,,,,,,,"Human induced pluripotent stem cell line line derived from foreskin fibroblasts, isolated as described by Yu, J. et al. Human induced pluripotent stem cell lines free of vector and transgene sequences. Science 324, 797-801 (2009). Cells were received from the James Thomson laboratory, who originally reprogrammed the cells from fibroblasts provided by ATCC. The first set of numbers before the period refer to different clones, the number after the period indicates the sub-clone. Cells were maintained on mTeSR medium.",/biosamples/ENCBS087RTK/,"John Stamatoyannopoulos, UW",newborn,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens iPS DF 19.11 cell line,,
270,ENCBS087UPP,21,year,21 years,primary cell,CD14-positive monocyte,,,,,,,control_0h,/biosamples/ENCBS087UPP/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,Homo sapiens male adult (21 years) CD14-positive monocyte primary cell,,
271,ENCBS087YAE,1,year,1 year,cell line,WERI-Rb-1,,,,,,,retinoblastoma (PMID: 844036),/biosamples/ENCBS087YAE/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens WERI-Rb-1 cell line,,ENCBS679NMZ
272,ENCBS088JMY,51,year,51 years,tissue,right atrium auricular region,,,,,,2015-01-01,EnTEX: Heart - Atrial Appendage,/biosamples/ENCBS088JMY/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (51 years) right atrium auricular region tissue,,ENCBS524KBT
273,ENCBS088TSK,5,day,5 days,in vitro differentiated cells,endodermal cell,,,,,,,,/biosamples/ENCBS088TSK/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Stephen Dalton,released,Homo sapiens female embryo (5 days) endodermal in vitro differentiated cells,,ENCBS835CLB
274,ENCBS089SAY,36,year,36 years,primary cell,T-cell,,,,,,,,/biosamples/ENCBS089SAY/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,Homo sapiens male adult (36 years) T-cell primary cell,,
275,ENCBS090AVS,33,year,33 years,primary cell,"activated CD8-positive, alpha-beta memory T cell",anti-CD3 and anti-CD28 coated beads,activation,,,,,,/biosamples/ENCBS090AVS/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens female adult (33 years) activated CD8-positive, alpha-beta memory T primary cell treated with anti-CD3 and anti-CD28 coated beads for 48 hours",,
276,ENCBS090ENC,unknown,,,primary cell,mammary epithelial cell,,,,,,,mammary epithelial cells,/biosamples/ENCBS090ENC/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens female mammary epithelial primary cell,,ENCBS531UOE
277,ENCBS090LBL,18,year,18 years,primary cell,mammary epithelial cell,,,,,,,Breast variant human mammary epithelial cell from a healthy 18 year old Caucasian female donor. Cells provided by the Thea Tlsty lab.,/biosamples/ENCBS090LBL/,"Joseph Costello, UCSF",adult,,,,,,,Homo sapiens,,,Thea Tlsty,released,Homo sapiens female adult (18 years) mammary epithelial primary cell,,
278,ENCBS090OSL,47,year,47 years,primary cell,natural killer cell,,,,,,,,/biosamples/ENCBS090OSL/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,StemExpress,released,Homo sapiens male adult (47 years) natural killer primary cell,,ENCBS415BNN
279,ENCBS090WQR,58,year,58 years,cell line,A549,,,,,2015-08-24,,,/biosamples/ENCBS090WQR/,"Tim Reddy, Duke",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens A549 cell line,,"ENCBS204ZVO,ENCBS788RGJ"
280,ENCBS091CWU,unknown,,,cell line,GM21717,,,,,2017-01-13,,"GM21717 LCLs; Donor from the Maasai in Kinyawa, Kenya (MKK)",/biosamples/ENCBS091CWU/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM21717 cell line,,
281,ENCBS091ENC,50,year,50 years,primary cell,mammary epithelial cell,,,,,,,mammary epithelial cells,/biosamples/ENCBS091ENC/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens female adult (50 years) mammary epithelial primary cell,,ENCBS045GHW
282,ENCBS091OOD,unknown,,,in vitro differentiated cells,dendritic cell,lipopolysaccharide,stimulation,,,,2015-11-06,,/biosamples/ENCBS091OOD/,"Manuel Garber, UMass",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens dendritic in vitro differentiated cells treated with 100 ng/mL lipopolysaccharide for 2 hours,,
283,ENCBS091SUW,14,year,14 years,cell line,MG63,,,,,,,,/biosamples/ENCBS091SUW/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens MG63 cell line,,ENCBS462PMF
284,ENCBS092CLB,42,year,42 years,primary cell,"activated naive CD8-positive, alpha-beta T cell","anti-CD3 and anti-CD28 coated beads,Interleukin-2",activation,,,,,,/biosamples/ENCBS092CLB/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (42 years) activated naive CD8-positive, alpha-beta T primary cell treated with anti-CD3 and anti-CD28 coated beads for 24 hours, 50 U/mL Interleukin-2 for 24 hours",,
285,ENCBS092RUO,38,year,38 years,primary cell,activated T-cell,"Interleukin-2,anti-CD3 and anti-CD28 coated beads",activation,,,,,,/biosamples/ENCBS092RUO/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (38 years) activated T-cell primary cell treated with 50 U/mL Interleukin-2 for 4 hours, anti-CD3 and anti-CD28 coated beads for 4 hours",,
286,ENCBS093HNZ,36,year,36 years,primary cell,myoepithelial cell of mammary gland,,,,,,,Breast myoepithelial cells with CD10+ marker from a healthy 36 year old African American female donor. Cells provided by the Thea Tlsty lab.,/biosamples/ENCBS093HNZ/,"Joseph Costello, UCSF",adult,,,,,,,Homo sapiens,,,Thea Tlsty,released,Homo sapiens female adult (36 years) myoepithelial of mammary gland primary cell,,
287,ENCBS094KYE,31,year,31 years,cell line,HeLa-S3,,,,,,,Cervical adenocarcinoma,/biosamples/ENCBS094KYE/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens HeLa-S3 cell line G1b phase,,ENCBS031GUL
288,ENCBS094MGI,3,year,3 years,primary cell,glomerular visceral epithelial cell,,,,,,,37°C,/biosamples/ENCBS094MGI/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,John Stamatoyannopoulos,released,Homo sapiens child (3 years) glomerular visceral epithelial primary cell,,"ENCBS117LCZ,ENCBS995QIF,ENCBS826RSQ"
289,ENCBS094RCD,41,year,41 years,tissue,pancreas,,,,/biosamples/ENCBS604ZEW/,,2017-05-24,,/biosamples/ENCBS094RCD/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (41 years) pancreas tissue, preserved by cryopreservation",,
290,ENCBS094UER,90 or above,year,90 or above years,tissue,head of caudate nucleus,,,,,,,,/biosamples/ENCBS094UER/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (90 or above years) with Alzheimer's disease; head of caudate nucleus tissue,,
291,ENCBS095ENC,69,year,69 years,cell line,MCF-7,,,,,,,"mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis",/biosamples/ENCBS095ENC/,"Gregory Crawford, Duke",adult,interference,RNAi,non-specific target control,,,,Homo sapiens,,,ECACC,released,Homo sapiens MCF-7 cell line expressing RNAi,,
292,ENCBS095FVN,51,year,51 years,tissue,Peyer's patch,,,,,,,,/biosamples/ENCBS095FVN/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (51 years) Peyer's patch tissue,,
293,ENCBS095RIH,62,year,62 years,cell line,NCI-H929,,,,,,,,/biosamples/ENCBS095RIH/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens NCI-H929 cell line,,ENCBS588WMC
294,ENCBS095TOF,25,year,25 years,in vitro differentiated cells,hematopoietic multipotent progenitor cell,"interleukin-3,kit ligand,hydrocortisone succinate,erythropoietin",stimulation,,,,,Day 11 (T11),/biosamples/ENCBS095TOF/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,"Homo sapiens male adult (25 years) hematopoietic multipotent progenitor in vitro differentiated cells treated with interleukin-3 for 11 days, kit ligand for 11 days, hydrocortisone succinate for 11 days, erythropoietin for 11 days",,"ENCBS013CSB,ENCBS378UXT"
295,ENCBS096INK,43,year,43 years,tissue,heart right ventricle,,,,,,2019-01-25,,/biosamples/ENCBS096INK/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Shin Lin,released,Homo sapiens male adult (43 years) heart right ventricle tissue,,
296,ENCBS096LWS,unknown,,,primary cell,astrocyte,,,,,,,astrocytes (also called Astrocy),/biosamples/ENCBS096LWS/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens astrocyte primary cell,,ENCBS020ENC
297,ENCBS096ODB,58,year,58 years,cell line,A549,,,,,2015-04-20,,,/biosamples/ENCBS096ODB/,"Tim Reddy, Duke",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens A549 cell line,,"ENCBS176HWE,ENCBS069CLB"
298,ENCBS097LXO,31,year,31 years,tissue,liver,,,,,,,Normal healthy liver tissue from an adult 31 year old male. Tissue was collected by surgery from the MGH Pathology department.,/biosamples/ENCBS097LXO/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Unknown Source,released,Homo sapiens male adult (31 years) liver tissue,,
299,ENCBS098ETX,43,year,43 years,primary cell,B cell,,,,,,2011-02-25,,/biosamples/ENCBS098ETX/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rajinder Kaul,released,Homo sapiens female adult (43 years) B primary cell,,ENCBS400ARI
300,ENCBS098SOQ,unknown,,,primary cell,fibroblast of the aortic adventitia,,,,,,,aortic adventitial fibroblast cells,/biosamples/ENCBS098SOQ/,"John Stamatoyannopoulos, UW",unknown,,,,,,,Homo sapiens,,,Lonza,released,Homo sapiens female fibroblast of the aortic adventitia primary cell,,ENCBS403VCX
301,ENCBS099BXQ,unknown,,,cell line,HUES48,,,,,,,"Human embryonic stem cell line with a normal 46XX karyotype. The stem cells were derived from human blastocysts and are strongly positive for a number of molecular markers of undifferentiated pluripotent human stem cells, including OCT4, NANOG, and TRA-1-81. [PMCID:PMC3335201]. Cells were provided by Harvard University and maintained on KSR medium.",/biosamples/ENCBS099BXQ/,"Bradley Bernstein, Broad",embryonic,,,,,,,Homo sapiens,,,Alex Meissner,released,Homo sapiens HUES48 cell line,,ENCBS203SNR
302,ENCBS099OIO,96,day,96 days,tissue,muscle of leg,,,,,,,"Leg muscle tissue from a healthy day 96 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS099OIO/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (96 days) muscle of leg tissue,,
303,ENCBS100DZU,105,day,105 days,tissue,right renal cortex interstitium,,,,,,,"Right side kidney renal cortex tissue from a healthy day 105 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS100DZU/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (105 days) right renal cortex interstitium tissue,,
304,ENCBS100ZVH,60,year,60 years,cell line,DOHH2,,,,,2012-08-22,,established from the pleural effusion of a 60-year-old man with refractory immunoblastic B cell lymphoma progressed from follicular centroblastic/centrocytic lymphoma in 1990,/biosamples/ENCBS100ZVH/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Todd Golub,released,Homo sapiens DOHH2 cell line,,ENCBS662OGM
305,ENCBS101OHM,21,year,21 years,primary cell,"CD8-positive, alpha-beta T cell",,,,,,2018-05-15,,/biosamples/ENCBS101OHM/,"Yijun Ruan, JAX",adult,,,,,,,Homo sapiens,,,AllCells,released,"Homo sapiens male adult (21 years) CD8-positive, alpha-beta T primary cell",,
306,ENCBS102BOL,unknown,,,cell line,GM19035,,,,,2016-12-16,,"GM19035 LCLs; Donor from the Luhya in Webuye, Kenya (LWK)",/biosamples/ENCBS102BOL/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM19035 cell line,,
307,ENCBS102SRR,51,year,51 years,tissue,uterus,,,,,,2015-01-01,EnTEX: Uterus,/biosamples/ENCBS102SRR/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (51 years) uterus tissue,,
308,ENCBS103BCS,unknown,,,cell line,HG02759,,,,,2017-01-24,,HG02759 LCLs; Donor from the Gambian in Western Divisions in the Gambia (GWD),/biosamples/ENCBS103BCS/,"Stephen Montgomery, Stanford",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens HG02759 cell line,,
309,ENCBS103EAQ,59,year,59 years,tissue,pancreas,,,,/biosamples/ENCBS042PQQ/,,2018-02-16,,/biosamples/ENCBS103EAQ/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (59 years) pancreas tissue, preserved by cryopreservation",,
310,ENCBS103LFA,5,day,5 days,in vitro differentiated cells,progenitor cell of endocrine pancreas,,,,,,,,/biosamples/ENCBS103LFA/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Bradley Bernstein,released,Homo sapiens female embryo (5 days) progenitor of endocrine pancreas in vitro differentiated cells,,
311,ENCBS103RPT,113,day,113 days,tissue,spinal cord,,,,,,,"Spinal cord primary tissue from a healthy day 113 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS103RPT/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (113 days) spinal cord tissue,,
312,ENCBS103ZIA,unknown,,,cell line,H1,,,,,,,"Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H1 line and were cultured on plates coated with fibronectin and human collagen. The medium used was: 50% StemLine II serum-free HSC expansion medium (HSFEM; Sigma), 50% ESFM, GlutaMAX (1/100 dilution), Ex-Cyte supplement (1/2000 dilution), 100 mM MTG, and 10 ng/ml FGF2.",/biosamples/ENCBS103ZIA/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens H1 cell line,,ENCBS368BPP
313,ENCBS104ACH,81,day,81 days,tissue,left forelimb,,,,,,,left arm,/biosamples/ENCBS104ACH/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,BDRL,released,Homo sapiens male embryo (81 days) left forelimb tissue,,
314,ENCBS104CPK,83,year,83 years,tissue,dorsolateral prefrontal cortex,,,,,,,,/biosamples/ENCBS104CPK/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Rush University,released,Homo sapiens female adult (83 years) with mild cognitive impairment; dorsolateral prefrontal cortex tissue,,
315,ENCBS104PYO,unknown,,,in vitro differentiated cells,neuronal stem cell,,,,,,,Human embryonic stem cells received from the James Thomson laboratory. Cells are from the H1 line and are differentiated into neural progenitor cells. Differentiation method described in a publication currently in progress.,/biosamples/ENCBS104PYO/,"Bing Ren, UCSD",embryonic,,,,,,,Homo sapiens,,,James Thomson,released,Homo sapiens male embryo neuronal stem in vitro differentiated cells originated from H1,,ENCBS776ACY
316,ENCBS105BAT,51,year,51 years,tissue,upper lobe of left lung,,,,,,,,/biosamples/ENCBS105BAT/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (51 years) upper lobe of left lung tissue,,
317,ENCBS105ENC,69,year,69 years,cell line,MCF-7,,,,,,,"mammary gland, adenocarcinoma. (PMID: 4357757), newly promoted to tier 2: not in 2011 analysis",/biosamples/ENCBS105ENC/,"Peggy Farnham, USC",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens MCF-7 cell line,,
318,ENCBS105ISO,3,year,3 years,cell line,NAMALWA,,,,,,,,/biosamples/ENCBS105ISO/,"John Stamatoyannopoulos, UW",child,,,,,,,Homo sapiens,,,Thomas Montine,released,Homo sapiens NAMALWA cell line,,ENCBS499IUK
319,ENCBS105KGA,60,year,60 years,tissue,lower lobe of left lung,,,,,,2018-05-05,,/biosamples/ENCBS105KGA/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens male adult (60 years) lower lobe of left lung tissue, preserved by flash-freezing",,
320,ENCBS105LQM,120,day,120 days,tissue,hindlimb muscle,,,,,,,"Lower skeletal hindlimb muscle tissue from a healthy day 120 male fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS105LQM/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens male embryo (120 days) hindlimb muscle tissue,,
321,ENCBS105SMU,69,year,69 years,cell line,MCF-7,,,,,,,,/biosamples/ENCBS105SMU/,"Mats Ljungman, UMichigan",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens MCF-7 cell line,,ENCBS352FBE
322,ENCBS106FXL,53,year,53 years,tissue,heart left ventricle,,,,,,,,/biosamples/ENCBS106FXL/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) heart left ventricle tissue,,
323,ENCBS106WDM,16,year,16 years,tissue,psoas muscle,,,,,,2017-06-09,,/biosamples/ENCBS106WDM/,"Michael Snyder, Stanford",child,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female child (16 years) psoas muscle tissue, preserved by flash-freezing",,
324,ENCBS107PVI,43,year,43 years,cell line,SU-DHL-6,,,,,2012-09-08,,also called SU-DHL-6 (diffuse histiocytic lymphoma) - disease: large cell lymphoma; diffuse mixed histiocytic and lymphocytic lymphoma; follicular B cell lymphoma; ATCC CRL-2959,/biosamples/ENCBS107PVI/,"Bradley Bernstein, Broad",adult,,,,,,,Homo sapiens,,,Todd Golub,released,Homo sapiens SU-DHL-6 cell line,,ENCBS401ZBX
325,ENCBS107WLD,25,year,25 years,in vitro differentiated cells,hematopoietic multipotent progenitor cell,,,,,,,Day 0 (T0),/biosamples/ENCBS107WLD/,"John Stamatoyannopoulos, UW",adult,,,,,,,Homo sapiens,,,Shelly Heimfeld,released,Homo sapiens male adult (25 years) hematopoietic multipotent progenitor in vitro differentiated cells,,ENCBS736SRW
326,ENCBS108OCK,53,year,53 years,tissue,subcutaneous adipose tissue,,,,,,,,/biosamples/ENCBS108OCK/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,Kristin Ardlie,released,Homo sapiens female adult (53 years) subcutaneous adipose tissue,,
327,ENCBS109ENC,53,year,53 years,cell line,K562,,,,,,,The continuous cell line K-562 was established by Lozzio and Lozzio from the pleural effusion of a 53-year-old female with chronic myelogenous leukemia in terminal blast crises.,/biosamples/ENCBS109ENC/,"Richard Myers, HAIB",adult,,,,,,,Homo sapiens,,,ATCC,released,Homo sapiens K562 cell line,,
328,ENCBS109FVF,50,year,50 years,cell line,C4-2B,,,,,2015-03-26,,,/biosamples/ENCBS109FVF/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,ViroMed Laboratories,released,Homo sapiens C4-2B cell line,,ENCBS391IVJ
329,ENCBS109TNY,61,year,61 years,tissue,psoas muscle,,,,/biosamples/ENCBS895JXQ/,,2018-05-29,,/biosamples/ENCBS109TNY/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (61 years) psoas muscle tissue, preserved by flash-freezing",,
330,ENCBS109VNU,147,day,147 days,tissue,stomach,,,,,,,"Stomach primary tissue from a healthy day 147 female fetus from Ian Glass of University of Washington, Congenital Defects Lab.",/biosamples/ENCBS109VNU/,"John Stamatoyannopoulos, UW",embryonic,,,,,,,Homo sapiens,,,Ian Glass,released,Homo sapiens female embryo (147 days) stomach tissue,,
331,ENCBS110ENC,unknown,,,cell line,GM12878,,,,,,,"B-lymphocyte, lymphoblastoid, International HapMap Project - CEPH/Utah - European Caucasion, Epstein-Barr Virus",/biosamples/ENCBS110ENC/,"Richard Myers, HAIB",adult,,,,,,,Homo sapiens,,,Coriell,released,Homo sapiens GM12878 cell line,,ENCBS857VGC
332,ENCBS110POC,41,year,41 years,tissue,psoas muscle,,,,,,2017-05-24,,/biosamples/ENCBS110POC/,"Michael Snyder, Stanford",adult,,,,,,,Homo sapiens,,,"Yiing Lin, MD, PhD",released,"Homo sapiens female adult (41 years) psoas muscle tissue, preserved by flash-freezing",,
333,ENCBS110SZF,unknown,,,primary cell,"effector memory CD4-positive, alpha-beta T cell",,,,,,,"CD25int, CD127+ memory T cells are one of CD4+ T cell subsets that were purified by microbeads, LS column and FACS. Cells came from a healthy donor provided by Dana Farber Cancer Institute.",/biosamples/ENCBS110SZF/,"Bradley Bernstein, Broad",unknown,,,,,,,Homo sapiens,,,Unknown Source,released,"Homo sapiens effector memory CD4-positive, alpha-beta T primary cell",,ENCBS934MZY
